Test_id,Test_Name,Test_Link,Remote_Testing,Adaptive_Testing,Test_Types,Description,Job_Levels,Languages,Assessment_Length,Assessment_Minutes,short_test,combined_text
4302,Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,YES,NO,"Ability & Aptitude, BioData & Situational Judgement, Competencies, Development & 360, Assessment Exercises, Personality & Behaviour","This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,",No info,No info,No info,short test,"Global Skills Development Report - This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills. | Test Type: Ability & Aptitude, BioData & Situational Judgement, Competencies, Development & 360, Assessment Exercises, Personality & Behaviour | Target Job Levels: Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor, | Duration: No info | Duration in Minutes: No info | Supports Remote Testing | short test"
3827,.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,YES,YES,Knowledge & Skills,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.","Professional Individual Contributor, Mid-Professional,","English (USA),",Approximate Completion Time in minutes = 30,30.0,long test,".NET Framework 4.5 - The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security. | Test Type: Knowledge & Skills | Target Job Levels: Professional Individual Contributor, Mid-Professional, | Duration: Approximate Completion Time in minutes = 30 | Duration in Minutes: 30.0 | Supports Remote Testing | long test | Supports Adaptive Testing | Languages: English (USA),"
4094,.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 17,17.0,long test,".NET MVC (New) - Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 17 | Duration in Minutes: 17.0 | Supports Remote Testing | long test | Languages: English (USA),"
4099,.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 5,5.0,long test,".NET MVVM (New) - Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 5 | Duration in Minutes: 5.0 | Supports Remote Testing | long test | Languages: English (USA),"
4018,.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 11,11.0,long test,".NET WCF (New) - Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 11 | Duration in Minutes: 11.0 | Supports Remote Testing | long test | Languages: English (USA),"
4016,.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 9,9.0,long test,".NET WPF (New) - Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 9 | Duration in Minutes: 9.0 | Supports Remote Testing | long test | Languages: English (USA),"
4165,.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 5,5.0,long test,".NET XAML (New) - Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 5 | Duration in Minutes: 5.0 | Supports Remote Testing | long test | Languages: English (USA),"
4178,Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,YES,NO,Knowledge & Skills,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 9,9.0,long test,"Accounts Payable (New) - Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries. | Test Type: Knowledge & Skills | Target Job Levels: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 9 | Duration in Minutes: 9.0 | Supports Remote Testing | long test | Languages: English (USA),"
4187,Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,YES,NO,Simulations,Simulated data entry test that measures the ability to process payables and vendor invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 8,8.0,long test,"Accounts Payable Simulation (New) - Simulated data entry test that measures the ability to process payables and vendor invoices. | Test Type: Simulations | Target Job Levels: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 8 | Duration in Minutes: 8.0 | Supports Remote Testing | long test | Languages: English (USA),"
4179,Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,YES,NO,Knowledge & Skills,Multiple-choice test that measures the knowledge of processing receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 13,13.0,long test,"Accounts Receivable (New) - Multiple-choice test that measures the knowledge of processing receivables and invoices. | Test Type: Knowledge & Skills | Target Job Levels: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 13 | Duration in Minutes: 13.0 | Supports Remote Testing | long test | Languages: English (USA),"
